tt.term_brand,tt.term_mdl_code,tt.os,tt.model,tt.price,name
三星,SGH-J708i,android,其他,NULL,
三星,SGH-Z720,android,ZV10,NULL,
三星,SM-J400M/DS,android,Galaxy J4,NULL,
华为,HUAWEI G730-T00,android,G730,NULL,
华为,HUAWEI T1101,NULL,NULL,NULL,
华为,HUAWEI T9510E,android,其他,NULL,
华为,I818,android,其他,NULL,
华为,TRT-AL00A,android,畅享7 Plus,NULL,
华为,U8661,android,华为Fusion 2 ,NULL,
华为,Vodafone 720,NULL,NULL,NULL,
华为,Vodafone 725,NULL,NULL,NULL,
华为,Vodafone 810,NULL,NULL,NULL,
小米科技,MBE6A5,android,红米 Note4,NULL,
欧珀,A617,android,A617,NULL,
欧珀,CPH1851,android,Oppo AX5,NULL,
欧珀,OPPO A103,NULL,NULL,NULL,
欧珀,OPPO A117,NULL,NULL,NULL,
欧珀,OPPO A121,NULL,NULL,NULL,
欧珀,OPPO A207,NULL,NULL,NULL,
欧珀,OPPO A53c,NULL,NULL,NULL,
欧珀,OPPO F19,NULL,NULL,NULL,
欧珀,OPPO R9st,android,R9,2499,
欧珀,OPPO T15,NULL,NULL,NULL,
步步高,V2022,,NULL,NULL,
步步高,V2027,,NULL,NULL,
步步高,V2036,,NULL,NULL,
步步高,V2045,,NULL,NULL,
步步高,V2130,,NULL,NULL,
步步高,V2158,,NULL,NULL,
步步高,V2197A,android,iQOO Neo6 SE,1449,
步步高,V2202,,NULL,NULL,
步步高,V2266A,android,iQOO Z7,NULL,
步步高,vivo Xplay6,android,VIVO XPLAY6,3498,
苹果,A2412,ios,IPHONE 13 PRO,7666,
荣耀,7D-503LT,android,其他,NULL,
荣耀,LND-AL40,android,荣耀畅玩 7C,NULL,
realme,RMX2117,android,Realme X7 Pro,1249,
三星,E1310M,NULL,NULL,NULL,
三星,I9020,NULL,NULL,NULL,
三星,S5233S,NULL,NULL,NULL,
三星,S7230E,android,其他,NULL,
三星,SCH-M715,android,Galaxy Note II,NULL,
三星,SM-G7509,android,Galaxy Mega 2,1099,
三星,SM-J3119S,android,Galaxy J3,NULL,
三星,SM-J5108,android,Galaxy J5,NULL,
华为,ANA-AL00,android,P40 4G,4413,
华为,C8815,android,其他,NULL,
华为,CHW-LX1,,NULL,NULL,
华为,LDN-TL10,android,畅享8,NULL,
华为,TAH-AN00m,NULL,NULL,NULL,
小米科技,M2001J11C,android,红米K30 Pro,3424,
小米科技,M2101K7AI,,NULL,NULL,
欧珀,PHS110,android,其他,NULL,
步步高,V2285A,android,其他,2299,
步步高,vivo Y67L,android,Y67,1098,
苹果,A2595,ios,iPhone SE Ⅲ (3rd generation),NULL,
荣耀,DUA-TL00,android,荣耀畅玩7A,NULL,
荣耀,HRY-AL00,android,荣耀10,NULL,
realme,RMX3611,android,Realme 10 5G,NULL,
三星,C5130,NULL,NULL,NULL,
三星,GT-I8190,android,其他,NULL,
三星,GT-I8258,android,其他,NULL,
三星,GT-I8262,android,其他,NULL,
三星,SGH-T509s,NULL,NULL,NULL,
三星,SM-A6058,android,Galaxy A9 star,NULL,
华为,AGR-AL09HN,android,其他,NULL,
华为,BLA-L09,android,Mate 10 pro,NULL,
华为,FLA-AL10,android,畅享8 Plus,NULL,
华为,G350,android,其他,NULL,
华为,GIA-AN80,android,荣耀80SE,2549,
华为,JAD-AL80,android,HUAWEI P50 Pro,6927,
华为,JER-AN10,android,Nova 7 Pro,3899,
华为,PKU-AL40,android,其他,2949,
华为,WAS-TL10,android,nova 青春版,NULL,
小米科技,23076RA4BC,android,Redmi Note 12R,1349,
小米科技,M1903F10C,android,小米9T,2119,
欧珀,OPPO R9skt,android,R9s,2499,
欧珀,OPPO U701T,android,U705T,NULL,
欧珀,PDKT00,android,其他,2032,
步步高,BBK,android,其他,NULL,
步步高,T98,android,其他,NULL,
步步高,V1818BT,NULL,NULL,NULL,
步步高,Y613,NULL,NULL,NULL,
步步高,vivo X9s L,android,VIVO X9S ,NULL,
苹果,Ipad Mini,NULL,NULL,NULL,
荣耀,DUK-AL20,android,荣耀V9,NULL,
荣耀,LYN-AN00,NULL,NULL,NULL,
三星,GT-C6712,android,其他,NULL,
三星,GT-I9082L,android,Galaxy Grand Duos,NULL,
三星,SGH-N288,android,其他,NULL,
三星,SGH-N300,android,其他,NULL,
三星,SGH-N620,android,其他,NULL,
三星,SGH-P308,android,其他,NULL,
三星,SGH-P510,android,其他,NULL,
三星,SGH-P858,android,其他,NULL,
小米科技,2016031,android,红米3S,NULL,
小米科技,2016036,android,红米3S,NULL,
小米科技,2016090,android,红米4,599,
小米科技,2016112,android,红米4,599,
小米科技,2016117,android,红米4,599,
欧珀,OPPO A53,android,其他,1532,
欧珀,PERM10,android,Oppo A36,1684,
步步高,BBK V303,NULL,NULL,NULL,
步步高,V2130A,android,iQOO Z5x,2499,
苹果,A2275,ios,iPhone SE 2,3832,
苹果,IPhone 3G,NULL,NULL,NULL,
荣耀,EBG-AN10,android,其他,NULL,
三星,GT-C3730C,android,其他,NULL,
三星,GT-I9158V,android,Galaxy Mega 5.8,NULL,
三星,SCH-W179,android,其他,NULL,
三星,SCH-W309,android,其他,NULL,
三星,SCH-W589,android,其他,NULL,
三星,SCH-W629,android,其他,NULL,
三星,SCH-W999,android,其他,NULL,
华为,ANB-AN00,android,荣耀80 Pro 直屏版,3599,
华为,ART-AL00M,android,畅享10,1374,
华为,HDL-AL09,android,荣耀Waterplay8（平板电脑）,NULL,
华为,HUAWEI SCL-L03,NULL,NULL,NULL,
华为,HUAWEI SCL-L21,NULL,NULL,NULL,
华为,U1270,android,华为U1280,NULL,
华为,U9100,android,其他,NULL,
小米科技,M2007J22G,android,其他,NULL,
小米科技,M2103K19C,android,Redmi Note 10 Pro,1799,
欧珀,PGCM10,android,OPPO Find X6,1532,
步步高,A50,android,其他,NULL,
步步高,K028,android,其他,NULL,
步步高,V2046A,android,Vivo X60 Pro,3266,
步步高,V2323A,,NULL,NULL,
步步高,vivo Y13T,android,VIVO Y15,799,
荣耀,ATH-TL00H,android,荣耀7i,NULL,
荣耀,G750-T01,android,荣耀3X畅玩版,NULL,
realme,RMX3708,android,Realme 11 Pro+,3349,
三星,G3502C,android,GALAXY Trend 3,NULL,
三星,GT-C3250,android,其他,NULL,
三星,GT-C3322,android,其他,NULL,
三星,GT-C3520,android,其他,NULL,
三星,GT-S5831I,android,Galaxy Ace,NULL,
三星,SGH-L608,android,其他,NULL,
三星,SGH-M300,android,其他,NULL,
三星,SGH-M620,android,其他,NULL,
三星,SGH-N075T,NULL,NULL,NULL,
三星,SGH-N188,android,其他,NULL,
三星,SGH-W669,NULL,NULL,NULL,
三星,SM-G3556D,android,Galaxy Core 2,NULL,
三星,SM-G988B/DS,android,Galaxy S20 Ultra,9544,
华为,CPN-AL00,android,CPN平板电脑,NULL,
华为,LNA-AL00,android,P60,5155,
华为,NOH-AL10,android,华为Mate40 Pro,6839,
小米科技,2016021,android,红米 Pro,NULL,
小米科技,MDT6S,android,其他,NULL,
欧珀,PHY110,,NULL,NULL,
步步高,V1938CA,NULL,NULL,NULL,
步步高,V2199GA,android,其他,3549,
步步高,vivo X9s Plus L,android,VIVO X9s PLUS,NULL,
步步高,vivo Y66,android,VIVO Y66,NULL,
苹果,IPad 3G,NULL,NULL,NULL,
荣耀,FRD-DL00,android,荣耀8,NULL,
荣耀,HLK-TL00,android,荣耀9X,NULL,
荣耀,MAG-AN00,,NULL,NULL,
荣耀,MXW-TN00,android,荣耀30青春版,1916,
荣耀,NTN-LX3,,NULL,NULL,
三星,E1202,android,其他,NULL,
三星,E1252,android,其他,NULL,
三星,E2210,android,其他,NULL,
三星,E2652,android,其他,NULL,
三星,GT-C3630C,android,其他,NULL,
三星,GT-N7102,android,Galaxy Note II,1600,
三星,S8300T,android,其他,NULL,
三星,SM-C7000,android,Galaxy C7 Pro,NULL,
三星,SM-G935A,android,Galaxy S7 Edge,NULL,
三星,SM-N986U,android,Galaxy Note 20,7199,
华为,BAC-TL00,android,nova 2 Plus,NULL,
华为,C8813,android,C8813,NULL,
华为,DUB-AL20,android,畅享9,NULL,
华为,HUAWEI Y320-T00,android,Y320,NULL,
华为,Huawei OptiXstar K153,NULL,NULL,NULL,
华为,POT-AL00,android,畅享9S,1099,
华为,U7520,android,其他,NULL,
华为,U8100,android,其他,NULL,
华为,U8150,android,其他,NULL,
华为,U8650,android,其他,NULL,
小米科技,HM7AM1903C3EE,android,X100S,624,
小米科技,M1912G7BC,android,红米K30,2212,
小米科技,M2002J9E,android,小米10青春版,NULL,
欧珀,OPPO A57t,android,A59,1499,
欧珀,PECT10,NULL,NULL,NULL,
欧珀,X9079,android,R9 Plus,NULL,
步步高,V2020A,android,S7,2948,
步步高,V2271A,android,iQOO Z7x,2099,
步步高,vivo X6Plus L,android,X6S,NULL,
苹果,A2888,ios,iPhone 14 Plus,8199,
荣耀,ARE-TL00,android,荣耀8X MAX,NULL,
荣耀,COL-AL10,android,荣耀10,NULL,
三星,SGH-J208,android,其他,NULL,
三星,SGH-J618,android,其他,NULL,
三星,SGH-J708,android,其他,NULL,
三星,SM-F9160,NULL,NULL,NULL,
华为,CAM-L03,android,荣耀畅玩5A,NULL,
华为,ELS-N39,android,华为p40pro+,8438,
小米科技,2014618,android,红米Note,NULL,
小米科技,2014910,android,红米Note,NULL,
小米科技,2014915,android,红米Note,NULL,
欧珀,PKD110,NULL,NULL,NULL,
苹果,A3092,IOS,iPhone 15 Plus,7332,
荣耀,KKG-AN00,android,荣耀 X10Max,NULL,
荣耀,LGE-AN10,android,荣耀 Magic4 Pro,5966,
荣耀,PE-CL00,android,其他,NULL,
三星,SGH-E251C,android,其他,NULL,
三星,SM-G3609,android,Galaxy Win 2 Duos,NULL,
三星,SM-G988W,android,Galaxy S21 FE,9544,
三星,W609,android,其他,NULL,
华为,C8813D,android,华为C8813D,NULL,
华为,GLA-AL00,android,Huawei Nova 10 Pro ,3849,
华为,HUAWEI G520-T10,android,G520,NULL,
华为,HUAWEI NXT-DL00,android,Mate 8,2425,
华为,NOH-AL00,android,Mate 40 Pro,6839,
华为,TRT-TL10A,android,畅享7 Plus,NULL,
华为,Y600D-C00,android,其他,NULL,
欧珀,OPPO A53t,android,A57,1532,
欧珀,OPPO A57,android,A57,1499,
欧珀,PJA110,android,OPPO K11,3466,
步步高,BBK vivo S3+,NULL,NULL,NULL,
三星,SGH-D600e,NULL,NULL,NULL,
三星,SHV-E210S,android,Galaxy S3,NULL,
三星,SM-F721N,,NULL,NULL,
三星,SM-G8508S,android,Galaxy Alpha LTE-A,NULL,
三星,SM-G981U,android,Galaxy S20,5999,
华为,ANE-TL00,android,Nova 3e,NULL,
华为,ATU-TL10,android,畅享8e,NULL,
华为,DCO-AL00,android,HUAWEIMate50,5879,
华为,FDR-A03L,android,揽阅 M2 青春版,NULL,
华为,HUAWEI G2201C,NULL,NULL,NULL,
华为,LIO-AN00P,android,Mate30 pro,6395,
小米科技,MDE6,android,红米 Note5,NULL,
小米科技,MEC7S,android,红米Note5,NULL,
欧珀,PCLM50,android,其他,NULL,
欧珀,PEEM00,android,Oppo A35,5832,
步步高,V2196A,android,iQOO U5e,3032,
苹果,A2176,ios,iPad 7,3666,
苹果,iPhone 6S A1633,ios,iPhone 5S ,NULL,
苹果,iPhone 8 Plus A1864,ios,红米Note8,NULL,
三星,GT-N5100,android,Galaxy Note 8.0,NULL,
三星,SM-A700YD,android,Galaxy A7,NULL,
三星,SM-F700U/DS,android,Galaxy Z Flip,14395,
三星,SM-F9260,android,Galaxy Z Fold5,17500,
三星,SM-N900S,android,其他,NULL,
三星,i897 Captivate,NULL,NULL,NULL,
华为,HUAWEI C8826D,android,其他,NULL,
华为,HUAWEI Y511-T00,android,Y511,NULL,
华为,TET-AN10,android,荣耀7,18166,
欧珀,PADM00,android,A3,NULL,
欧珀,PCPM00,android,Reno3,NULL,
欧珀,PJS110,android,Galaxy Mini,1249,
步步高,V2005A,android,Vivo X60s,3237,
荣耀,LGE-NX9,,NULL,NULL,
realme,RMX2052,android,Realme x50 pro,NULL,
三星,GT-I9050,android,Galaxy Grand Neo,NULL,
三星,SGH-E210,android,其他,NULL,
三星,SGH-E251,android,其他,NULL,
三星,SGH-E256,android,其他,NULL,
三星,SGH-E378,android,其他,NULL,
三星,SGH-E418,android,其他,NULL,
三星,SGH-E490,android,其他,NULL,
三星,SGH-E620,android,其他,NULL,
三星,SGH-E648,android,其他,NULL,
三星,SGH-E738,android,其他,NULL,
三星,SGH-E760,android,其他,NULL,
三星,SGH-E788,android,其他,NULL,
三星,SGH-F110,android,其他,NULL,
三星,SGH-F480,android,其他,NULL,
三星,SGH-F488E,android,其他,NULL,
三星,SM-A5460,android,其他,3199,
三星,SM-R8950,,NULL,NULL,
华为,B311As-853,NULL,NULL,NULL,
华为,F530,ANDROID,其他,NULL,
华为,FOA-AL00,android,智能手表GT 3,NULL,
华为,HUAWEI T550,NULL,NULL,NULL,
华为,HUAWEI T901,NULL,NULL,NULL,
华为,HUAWEI VNS-TL00,android,G9 青春版,NULL,
华为,HUAWEI Y220-T10,android,其他,NULL,
华为,MLD-AL00,android,华为 畅享20E,1049,
华为,NOH-AN80,android,其他,7099,
小米科技,2013011,NULL,NULL,NULL,
小米科技,2107113SG,,NULL,NULL,
小米科技,M1805E10A,android,小米 8,NULL,
小米科技,M1807E8S,android,小米 8,NULL,
欧珀,PDNT00,android,Reno 4,NULL,
欧珀,PHU110,android,Oppo Reno10 Pro,4099,
欧珀,R7007,android,其他,NULL,
步步高,vivo Y79A,android,VIVO Y81,NULL,
荣耀,CDY_TN95,NULL,NULL,NULL,
荣耀,MYA-AL10,android,荣耀畅玩6,NULL,
realme,RMX2020,android,Realme X50 Pro,700,
realme,RMX3122,android,Realme V11s 5G,1299,
三星,SM-A8000,android,Galaxy A8,NULL,
三星,SM-G996N,,NULL,NULL,
三星,SM-S9010,android,Galaxy S22+ 5G,3875,
三星,SM-X806C,,NULL,NULL,
华为,CDY-TN20,android,华为Nova 7 SE,2599,
华为,HUAWEI G610-T00,android,其他,NULL,
华为,M2-A01L,android,揽阅 M2,NULL,
华为,U1280,android,其他,NULL,
小米科技,2112123AC,android,Xiaomi 12X,2999,
小米科技,22041216C,android,Redmi note11t Pro,1919,
小米科技,M2002J9G,android,小米10 Lite,2277,
欧珀,OPPO R7st,android,R7,NULL,
欧珀,OPPO R805,android,R807,NULL,
欧珀,OPPO R9tm,android,T29,NULL,
欧珀,OPPO X9070,android,其他,NULL,
欧珀,PACT00,android,R15,NULL,
欧珀,R830,android,其他,NULL,
步步高,S7W,NULL,NULL,NULL,
步步高,V2099A,android,X21,1249,
步步高,V2141A,android,iQOO U3x 标准版,5132,
苹果,A2298,ios,iPhone 12 Pro ,3832,
荣耀,ALI-NX1,,NULL,NULL,
荣耀,BLN-TL10,android,荣耀畅玩6X,NULL,
荣耀,BVL-AN16,,NULL,NULL,
荣耀,BVL-AN20,,NULL,NULL,
荣耀,JMM-TL10,android,荣耀V9 play,NULL,
荣耀,KIW-TL00,android,荣耀畅玩5X,NULL,
荣耀,SCL-TL00,android,荣耀4A,NULL,
realme,RMX3574,android,其他,NULL,
三星,GT-N7102i,NULL,NULL,NULL,
三星,SGH-B528,android,其他,NULL,
三星,SGH-BC01,android,其他,NULL,
三星,SGH-C158,android,其他,NULL,
三星,SGH-C450,android,其他,NULL,
三星,SGH-D418,android,其他,NULL,
三星,SGH-D508,android,其他,NULL,
三星,SGH-D788,android,其他,NULL,
三星,SGH-D828,android,其他,NULL,
三星,SGH-F250L,android,其他,NULL,
三星,SGH-N600,NULL,NULL,NULL,
三星,SHW-M130K,NULL,NULL,NULL,
三星,SM-G1600,android, Galaxy Fold2,NULL,
三星,SM-G892A,android,Galaxy S8,NULL,
三星,SM-G900I,android,Galaxy S5,NULL,
三星,SM-G900S,android,Galaxy S5,NULL,
三星,SM-G920F,android,Galaxy S6,NULL,
三星,SM-G9300,android,Galaxy S7,NULL,
三星,SM-G930S,android,Galaxy S7,NULL,
三星,SM-G9350,android,Galaxy S7,NULL,
三星,SM-G935S,android,Galaxy S7,NULL,
三星,SM-G950F,android,Galaxy S8,NULL,
三星,SM-G950U,android,Galaxy S8,NULL,
三星,SM-G960N,android,Galaxy S9,NULL,
华为,C8812E,android,其他,NULL,
华为,HUAWEI ET306,NULL,NULL,NULL,
华为,HUAWEI ET536,NULL,NULL,NULL,
华为,HUAWEI R950e,NULL,NULL,NULL,
华为,LIO-L29,android,Mate 30 pro,6395,
华为,SCM-AL09,android,华为平板M6,NULL,
华为,SLA-AL00,android,畅享7,NULL,
小米科技,2303ERA42L,,NULL,NULL,
小米科技,M1805E2A,android,小米 8,NULL,
小米科技,M1902F1G,android,小米9,NULL,
欧珀,OW20W3,,NULL,NULL,
步步高,BBK K16S,NULL,NULL,NULL,
步步高,V1832A,android,S1 pro,NULL,
苹果,iPhone 7 A1660,ios,红米K20 pro,NULL,
荣耀,LLD-AL30,android,荣耀9 青春版,NULL,
荣耀,TEL-TN00,android,Nova7SE,1999,
荣耀,YAL_TL10,NULL,NULL,NULL,
三星,GT-S7262,android,Galaxy star Pro,NULL,
三星,SCH-W410,NULL,NULL,NULL,
三星,SCV33,,NULL,NULL,
三星,SGH-U108,android,三星U300.,NULL,
三星,SM-A5000,android,Galaxy A5,NULL,
三星,SM-A520L,android,Galaxy A5,NULL,
三星,SM-A7100,android,Galaxy A7,NULL,
三星,SM-G781U,,NULL,NULL,
三星,SM-X706C,,NULL,NULL,
华为,FIG-TL00,android,畅享7s,NULL,
华为,HUAWEI G520-0000,android,G520,NULL,
华为,JNY-AL10,android,Nova6 SE,2588,
华为,PAR-TL20,android,Nova 3,NULL,
小米科技,2016101,android,红米Note 4,NULL,
小米科技,小米3联通版,NULL,NULL,NULL,
欧珀,OWW213,,NULL,NULL,
欧珀,OWW231,,NULL,NULL,
步步高,I302,NULL,NULL,NULL,
步步高,V2136A,android,iQOO 8,3449,
步步高,V2279A,android,其他,1599,
步步高,vivo Y20T,android,其他,NULL,
苹果,A2007,ios,Apple Watch Series 4,NULL,
荣耀,BMH-AN10,android,荣耀30,3295,
荣耀,KNT-TL10,android,荣耀V8,NULL,
realme,RMX1971,android,其他,NULL,
realme,RMX2051,android,其他,NULL,
realme,RMX3372,android,Realme 9 5G,NULL,
三星,SGH-A767,android,其他,NULL,
三星,SGH-L778,NULL,NULL,NULL,
三星,SGH-M150,NULL,NULL,NULL,
三星,SGH-R200S,android,其他,NULL,
三星,SM-A525M,,NULL,NULL,
三星,SM-A526B,,NULL,NULL,
三星,SM-A5560,,NULL,NULL,
三星,SM-G5308W,android,Galaxy Grand Prime,NULL,
华为,ANE-LX2J,android,Nova 3e,NULL,
华为,BZA-L00,android,华为平板M2,NULL,
华为,CHT 5000,NULL,NULL,NULL,
华为,EVR-L29,android,其他,NULL,
华为,HUAWEI T8100,android,其他,NULL,
华为,HUAWEI T8600,android,其他,NULL,
华为,HUAWEI T8830,android,其他,NULL,
华为,VIE-L29,android,P9 Plus,NULL,
小米科技,HM7M1810F6LE,android,iPhone XR ,NULL,
欧珀,OPPO U521,NULL,NULL,NULL,
欧珀,PDYM20,android,A92,1649,
欧珀,PDYT20,android,A72,1649,
欧珀,PGGM10,android,OPPO K10 Pro 5G,1732,
步步高,vivo Y35,android,Y35,NULL,
步步高,vivo Y53,android,Y53,NULL,
步步高,vivo Y71,android,Y71,NULL,
步步高,vivo Y85,android,Y85,NULL,
苹果,A2631,ios,iPhone 13 (Canada|Japan),NULL,
荣耀,AUM-AL20,android,荣耀畅玩7A,NULL,
荣耀,PRA-AL00,android,荣耀8 青春版,NULL,
荣耀,XD28,NULL,NULL,NULL,
realme,RMX3142,android,其他,1799,
realme,RMX3751,android,Realme 11 Pro,1699,
三星,B7620,android,其他,NULL,
三星,E1110,NULL,NULL,NULL,
三星,GT-S5630C,android,其他,NULL,
三星,I8262,android, Galaxy Core,NULL,
三星,S5608,android,其他,NULL,
三星,S7070,android,其他,NULL,
三星,SCH-I929,android,其他,NULL,
三星,SGH-G508E,android,其他,NULL,
三星,SGH-X468+,android,其他,NULL,
三星,SM-F700N,android,Galaxy Z Flip,14395,
三星,SM-G3508I,android,其他,NULL,
三星,SM-G7108,android,Galaxy Grand 2,NULL,
三星,SM-S908U1,,NULL,NULL,
三星,W789,NULL,NULL,NULL,
华为,ALN-AL10,,NULL,NULL,
华为,Ascend W2-U00,NULL,NULL,NULL,
华为,CAM-CL00,android,荣耀畅玩5A,NULL,
华为,LYA-AL10,android,Mate 20 pro,NULL,
华为,MED-AL00,android,畅享10e,1099,
小米科技,22101316G,,NULL,NULL,
小米科技,22101320G,,NULL,NULL,
小米科技,红米 NOTE(联通4G),NULL,NULL,NULL,
欧珀,OPPO R813T,android,R815T,NULL,
欧珀,PEAM00,android,其他,3149,
欧珀,PGJM10,android,OPPO Reno5 K 5G,2832,
步步高,V1821T,android,其他,NULL,
步步高,Y13L,android,其他,799,
步步高,vivo Xplay5L,NULL,NULL,NULL,
苹果,A1567,ios,iPhone 6,NULL,
苹果,A2411,ios,iPhone 12 Pro Max,7666,
荣耀,G750-T20,NULL,NULL,NULL,
三星,GT-E1220,android,其他,NULL,
三星,GT-I9082,android,Galaxy Grand Duos,NULL,
三星,GT-S6818,android,Galaxy Fame,NULL,
三星,SM-A325N,,NULL,NULL,
华为,AGS3-AL09HN,android,其他,NULL,
华为,AMN-TL10,android,华为 畅享10 E,1099,
华为,FLA-TL10,android,畅享8 Plus,NULL,
华为,JEF_TN20,NULL,NULL,NULL,
华为,JER-TN10,android,Nova 7 Pro,3899,
华为,LDN-AL20,android,畅享8,NULL,
华为,VTR-AL00,android,P10,1499,
小米科技,22081212UG,,NULL,NULL,
欧珀,OPPO R11s Plust,android,R11s,NULL,
欧珀,OPPO R9m,android,R9 Plus,NULL,
欧珀,OPPO X909T,android,R9,NULL,
欧珀,PBBT00,android,A5,NULL,
欧珀,PBDT00,android,R17,NULL,
欧珀,PDST00,android,Oppo A32,3532,
欧珀,PGAM10,android,OPPO Reno8,3132,
欧珀,X9077,android,Find 7,NULL,
步步高,BBK K10,NULL,NULL,NULL,
步步高,V2068A,android,Vivo Y53s,1632,
步步高,V2199A,android,vivo S15 Pro,2399,
苹果,iPhone 7 A1778,ios,红米K20Pro,NULL,
荣耀,HUAWEI G750-U10,NULL,NULL,NULL,
荣耀,NEM-UL10,android,其他,NULL,
realme,RMX2201,android,Realme GT,1332,
三星,158,android,其他,NULL,
三星,699,android,其他,NULL,
三星,GT-I9158,android,Galaxy Mega 5.8,NULL,
三星,I617,android,其他,NULL,
三星,I8350,android,三星I8350(Omnia W）,NULL,
三星,I879,android,其他,NULL,
三星,I8910U,NULL,NULL,NULL,
三星,S3500,android,其他,NULL,
三星,S3501C,NULL,NULL,NULL,
三星,S3550,android,其他,NULL,
三星,SGH-M128,android,Anycall ,NULL,
三星,SM-G9900,android,Galaxy S21,4799,
三星,SM-N9108V,android,Galaxy Note4,NULL,
三星,SM-N981U,android,Galaxy Note 20 5G,4499,
三星,i718+,NULL,NULL,NULL,
华为,DIG-AL00,android,畅享6S,NULL,
华为,HUAWEI G6600,NULL,NULL,NULL,
华为,HUAWEI T8951,android,T8951,NULL,
华为,MRX-AL09,android,MatePad Pro,NULL,
小米科技,2201122G,,NULL,NULL,
小米科技,22127RK46C,android,Redmi K60 Pro,3939,
欧珀,T15,android,其他,NULL,
欧珀,T29,android,其他,NULL,
步步高,vivo 1723,android,iPhone 7 ,NULL,
步步高,vivo V3L,NULL,NULL,NULL,
荣耀,H60-L03,android,荣耀6,750,
荣耀,H60-L12,android,荣耀6,750,
荣耀,REA-AN00,android,G100A,2766,
realme,RMX1991,android,Realme X2,NULL,
三星,GT-I9507V,android,Galaxy S4,1235,
三星,GT-S7278U,android,Galaxy Ace 3 ,430,
三星,SGH-I317,android,Galaxy Note 2,NULL,
三星,SM-G965F/DS,android,Galaxy S9+,NULL,
华为,ALT-L29,,NULL,NULL,
华为,ART-LX3,android,其他,NULL,
华为,HUAWEI D2-6070,android,其他,NULL,
华为,INE-LX2,android,Nova 3i,NULL,
华为,MHA-L29,android,Mate 9,2599,
华为,POT-TL00a,android,其他,1099,
华为,U9120H3G,NULL,NULL,NULL,
华为,VOG-TL00,android,其他,3958,
小米科技,22061218C,android,XIAOMI MIX FOLD2,11249,
小米科技,M1810E5E,android,小米 MIX3,NULL,
小米科技,M2004J19C,android,红米9,999,
小米科技,MCE8,android,小米Note3,NULL,
小米科技,MDE5,android,小米 MaX2,NULL,
欧珀,PBAT00,android,A5,NULL,
欧珀,PFZM10,android,其他,3849,
步步高,BBK vivo S3,NULL,NULL,NULL,
步步高,V1831A,android,其他,1336,
步步高,V1832T,android,X27 pro,NULL,
步步高,vivo X3V,android,vivo X5Max,NULL,
步步高,vivo X9L,android,X9 Plus,1998,
步步高,vivo Y15T,android,Y17,NULL,
步步高,vivo Y19t,android,Y20,NULL,
步步高,vivo Y53n,android,Y55,NULL,
步步高,vivo Y69A,android,Y71,NULL,
步步高,vivo Y75s,android,Y79,NULL,
步步高,vivo Y927,android,Y928,NULL,
苹果,A1984,ios,Apple Watch Series 4,3599,
苹果,A2890,ios,iPhone 14 Pro (Global),NULL,
荣耀,SCL-TL00H,android,华为平板M6,NULL,
三星,B2100,android,其他,NULL,
三星,GT-I9230,android,Galaxy Folder,NULL,
三星,GT-S6108,android,Galaxy Y,NULL,
三星,I939,android,GALAXY SIII,1793,
三星,S5550U,android,其他,NULL,
三星,SGH-629,NULL,NULL,NULL,
三星,SGH-BISHOP,android,其他,NULL,
三星,SGH-i908E,NULL,NULL,NULL,
三星,SHV-E220S,android,Galaxy Pop,NULL,
三星,SM-C7100,android,C8,NULL,
三星,SM-W2016,android,SM-W2017,NULL,
三星,SM-W2019,android,SM-W2019,NULL,
三星,T311,NULL,NULL,NULL,
华为,ART-AL00x,NULL,NULL,NULL,
华为,BAH-AL00,android,华为平板M3 青春版,NULL,
华为,HUAWEI CAZ-AL00,android,nova,988,
华为,HUAWEI G3701,NULL,NULL,NULL,
华为,HUAWEI G660-L075,android,G660,NULL,
华为,HUAWEI G716-L070,android,G716,NULL,
华为,HUAWEI S8600,NULL,NULL,NULL,
华为,KRJ-AN00,android,其他,NULL,
华为,Y210-2010,android,华为 Y220-T10,NULL,
小米科技,24053PY09C,android,一加Ace 3V,NULL,
欧珀,PEFM00,android,其他,1049,
苹果,A2341,ios,iPhone 12 Pro Max,6833,
荣耀,7D-503L,android,荣耀X1（平板电脑）,NULL,
荣耀,PGT-N19,,NULL,NULL,
荣耀,YAL-AL10,android,荣耀20,NULL,
realme,RMX3615,android,Realme Q5x,1449,
三星,GT-S6700C,android,其他,NULL,
三星,SCH-I535,android,Galaxy S III,1793,
三星,SGH-F118,NULL,NULL,NULL,
华为,HUAWEI P6-T00V,android,P6,NULL,
华为,K1-G01,android,K1,NULL,
华为,VNE-AN40,android,其他,1199,
小米科技,M1901F7E,android,红米 Note7,999,
小米科技,M1901F7T,android,红米 Note7,999,
小米科技,M2001G7AE,android,红米K30,2212,
欧珀,PJR110,,NULL,NULL,
步步高,V1813T,android,Y97,NULL,
步步高,V1829A,android,X27,NULL,
步步高,V1838A,android,X27,NULL,
步步高,V1941A,android,Z5i,NULL,
步步高,V1965A,android,S6,NULL,
苹果,A2100,ios,iPhone XS Max,NULL,
荣耀,COL-TL10,android,荣耀10,NULL,
荣耀,CUN-AL00,android,荣耀畅玩5,NULL,
荣耀,HLK-AL10,android,荣耀9X,NULL,
荣耀,HUAWEI G750-T01M,NULL,NULL,NULL,
三星,B2700,android,Samsung B2700,NULL,
三星,E1200M,android,其他,NULL,
三星,GT-E1083C,android,其他,NULL,
